p: 0.79,ibrida,arena: III;;p: 0.1,alterazione,arena: I;;p: 0.1,alterazione,arena: II;;p: 0.79,alterazione,arena: IV;;p: 0.79,alterazione,arena: II;;p: 0.79,ripartizione,arena: IV;;p: 0.5,ibrida,arena: III;;p: 0.79,alterazione,arena: I;;p: 0.5,alterazione,arena: I;;p: 0.5,ripartizione,arena: I;;p: 0.5,ripartizione,arena: III;;p: 0.1,ibrida,arena: IV;;p: 0.1,alterazione,arena: IV;;p: 0.79,ibrida,arena: I;;p: 0.79,ibrida,arena: II;;p: 0.5,ripartizione,arena: IV;;p: 0.5,ibrida,arena: IV;;p: 0.79,ibrida,arena: IV;;p: 0.5,alterazione,arena: IV;;p: 0.1,ibrida,arena: I;;p: 0.1,ibrida,arena: II;;p: 0.1,ripartizione,arena: IV;;p: 0.1,ripartizione,arena: I;;p: 0.5,alterazione,arena: III;;p: 0.1,alterazione,arena: III;;p: 0.5,alterazione,arena: II;;p: 0.5,ripartizione,arena: II;;p: 0.1,ripartizione,arena: III;;p: 0.79,ripartizione,arena: III;;p: 0.5,ibrida,arena: I;;p: 0.1,ripartizione,arena: II;;p: 0.5,ibrida,arena: II;;p: 0.79,ripartizione,arena: II;;p: 0.1,ibrida,arena: III;;p: 0.79,alterazione,arena: III;;p: 0.79,ripartizione,arena: I
statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness
430;98.4558;29;81.6147;758;38.2503;569;5.0054;238;54.3707;167;114.9705;799;85.9381;289;28.8535;577;47.9753;801;42.3257;107;54.3261;96;52.8858;158;63.4614;157;77.7234;364;51.6499;409;50.1045;800;52.585;202;78.4083;565;18.7299;81;51.3521;58;55.1996;31;61.058;10;7.5832;150;50.4278;127;51.6264;801;46.1624;801;39.0405;34;53.3159;456;116.1859;801;73.3012;56;0.3744;582;41.2366;118;69.2077;297;73.7861;373;99.9984;24;39.9211
276;81.1653;57;70.8701;266;56.0824;159;5.6563;137;54.8696;213;64.9186;548;61.604;67;77.3655;801;31.9812;801;46.2482;790;44.8094;395;68.9477;40;50.0929;143;77.4152;423;49.4723;737;30.5613;427;49.5963;106;93.597;801;25.9186;34;73.2733;10;43.2814;52;65.8294;11;76.677;792;12.6159;416;47.0971;801;42.8045;801;33.3009;16;52.3632;74;65.4419;801;48.6446;20;40.2864;794;43.3153;38;52.6946;124;127.5952;301;57.1229;123;70.9297
351;117.6688;38;54.8286;24;5.2336;150;39.5343;452;52.4483;165;50.4354;583;39.7101;291;42.2616;782;43.6478;801;39.4153;572;57.0013;180;114.5678;521;20.4087;411;79.1097;372;48.2612;787;23.8905;788;67.7533;17;81.7025;791;44.9463;7;80.674;97;54.5393;13;4.0274;18;80.885;777;29.9776;350;12.8906;801;32.7639;762;43.6924;22;114.4769;172;51.9318;395;76.5211;19;68.0943;801;42.755;31;16.0342;184;111.0449;469;15.4579;31;80.4086
251;56.0886;25;60.3842;517;41.4345;485;32.0904;195;50.9159;112;52.0228;574;58.3994;109;75.4482;797;43.2698;490;48.3642;801;14.1758;160;68.606;116;21.1388;134;75.3919;756;50.1519;697;40.4859;746;36.5032;232;110.0729;560;26.7897;21;76.2903;651;40.7425;59;64.6882;10;77.9419;196;1.8775;84;43.5734;451;51.0877;801;47.0309;27;57.7962;208;70.7477;801;40.9681;37;12.9553;801;44.061;15;53.8018;47;8.7507;62;51.4586;176;81.1801
713;82.3851;18;8.2838;125;42.1919;91;51.1237;178;51.3284;155;72.1054;658;66.9725;798;47.1406;680;50.7551;291;43.2547;455;35.3424;183;65.4916;123;53.5233;203;76.6414;299;41.88;498;40.4521;264;53.8651;446;72.681;801;18.7904;16;79.335;61;51.6869;15;52.4623;16;76.8658;801;15.5725;273;89.7787;801;19.2829;801;38.8068;27;60.4379;72;54.5268;801;37.9401;28;10.5465;795;54.643;206;52.4931;546;88.5467;595;4.7317;121;70.32
226;73.7446;504;48.1889;291;31.8612;706;62.3878;207;50.769;125;68.3544;502;59.7352;90;80.8792;317;32.0998;221;44.9652;801;22.6437;767;50.867;27;58.1089;115;78.6736;335;51.8049;320;54.2379;10;41.8743;262;58.0405;239;2.0318;13;70.2297;91;43.1358;27;2.6571;55;76.317;608;80.462;125;45.8573;702;34.1774;801;45.5626;58;125.2239;134;220.5571;15;43.8627;50;12.636;599;44.766;194;49.5161;205;75.2615;30;0.1133;346;46.2615
258;83.0296;505;57.1024;800;20.3505;148;12.905;350;53.8982;325;88.9044;577;62.8664;465;53.7926;801;53.1528;169;50.6631;457;64.4341;299;36.8135;139;50.1481;113;81.1928;57;52.6563;801;13.2752;782;33.6781;91;14.5028;450;36.7761;40;79.7829;102;40.436;11;50.0;23;79.276;331;5.6397;316;63.7502;801;42.0471;801;42.5622;5;50.0;292;60.2856;801;34.2321;20;7.0914;735;40.3899;45;45.4237;93;64.6269;48;4.9594;45;77.6609
169;116.9301;566;44.646;21;53.5676;433;35.6226;119;61.0101;20;50.0;741;52.2026;40;62.9592;801;38.0701;798;51.4988;707;55.5968;53;112.0406;418;1.5643;95;68.1274;572;49.9893;171;33.7791;793;24.8518;392;67.9893;801;22.0337;61;80.2161;29;66.1199;79;118.014;4;80.5165;252;59.2507;13;0.1187;801;41.7921;801;31.8384;9;167.4088;146;258.328;792;43.4122;21;15.4633;801;42.2311;262;44.8378;274;149.9383;173;57.4551;67;78.0746
134;92.2343;496;53.4776;459;41.5302;73;62.0913;148;59.9584;90;52.9766;801;38.0408;359;51.6711;801;31.769;730;45.1804;749;51.0719;17;50.4298;664;15.1097;564;57.3915;336;51.8558;558;54.1724;761;34.1169;359;67.256;742;51.33;77;79.5737;29;53.7737;21;51.89;3;78.9297;315;1.6157;32;4.2489;147;32.5615;801;38.1885;31;58.2061;503;60.6778;799;48.398;40;38.2503;801;42.0997;61;49.3978;247;70.2906;783;31.1294;179;72.0521
252;50.0146;30;79.5936;123;48.9374;18;50.0;713;47.0829;284;88.6396;443;65.5052;416;55.6286;801;41.8809;801;42.0455;801;27.0244;251;66.4901;312;47.0529;264;52.7875;103;45.1439;782;40.7689;801;39.6856;251;81.7463;387;13.4672;20;82.8856;54;59.0123;11;117.7983;77;80.1221;800;14.5029;278;69.7896;801;42.7298;478;36.9577;138;120.5554;201;108.3053;801;48.393;16;7.9367;801;47.7579;283;51.565;96;68.5667;36;50.0;23;77.4034
329;95.2757;114;57.6288;111;5.1486;331;30.8022;786;43.3274;56;50.0491;789;75.292;301;48.7906;801;44.4931;476;44.5712;788;42.912;236;40.823;189;0.0918;59;76.9723;275;48.9001;800;51.4655;720;36.927;257;110.3434;801;32.4904;101;40.1843;62;43.2465;13;5.3288;55;79.9907;334;2.2025;468;94.8972;801;43.5428;789;43.5954;16;51.9721;115;66.1008;479;33.7511;24;0.2781;801;39.4573;232;51.4571;248;108.3395;88;47.875;26;80.1508
356;56.6359;121;52.2457;372;55.6213;27;34.375;284;40.6749;72;50.2583;801;24.7776;674;48.2492;801;42.4843;756;43.4265;692;35.5478;235;65.0187;19;0.1177;181;50.4777;401;47.2233;566;17.1329;277;70.7721;176;63.0277;445;0.0;19;71.2812;89;43.9409;14;50.8307;4;81.1743;662;13.9674;344;58.8647;801;37.7602;312;45.1642;7;6.4729;189;3.655;465;47.4982;26;13.0533;399;48.2593;341;47.8185;234;66.311;601;45.0587;97;77.7405
477;65.3043;132;52.6158;736;38.1599;116;50.154;577;45.3008;305;62.2151;800;31.2214;123;72.5738;429;51.0551;801;43.8396;628;51.0807;107;59.66;105;12.7639;324;79.135;119;33.7043;223;50.0;790;14.4408;245;65.1999;722;61.1776;24;79.2108;127;47.3677;77;78.4284;22;81.2491;403;61.2923;46;50.0;801;13.8183;801;42.0822;100;88.3424;323;64.7092;799;39.2906;12;15.885;801;45.0489;26;60.2974;62;87.9932;233;25.7262;93;79.5201
280;62.8447;356;49.4114;44;58.2131;46;3.474;248;52.2157;273;57.0195;653;55.4229;92;51.8868;671;42.7215;757;42.1015;617;49.0887;66;54.9777;56;36.7961;348;51.3403;225;47.5285;801;33.9822;326;64.3532;231;108.9103;308;1.6165;83;79.7102;341;49.6795;33;8.7541;9;80.43;347;5.8365;399;60.1343;734;42.9943;768;37.6064;9;14.0939;37;50.0;801;39.5615;17;22.8913;801;43.8732;38;45.676;627;84.999;245;2.3649;152;59.9158
338;106.9669;12;60.0923;742;13.0951;307;47.3634;65;52.4473;76;110.2578;801;36.8976;145;81.9283;628;37.9464;801;34.8926;742;22.0358;90;119.36;164;29.2482;69;79.1874;277;47.1179;801;29.1964;801;34.346;190;52.9317;134;0.2702;14;79.3028;80;54.0073;26;50.0;10;3.4135;658;13.0743;98;62.7375;358;48.8693;647;36.8845;53;56.4634;265;114.4501;764;41.4061;2;44.3464;759;39.4923;299;51.8299;176;118.9148;768;29.2197;37;69.6409
303;107.3146;32;59.5002;2;7.1552;421;5.1431;95;48.3634;248;66.1699;769;33.3348;179;47.8062;801;51.676;801;41.8442;543;70.3461;200;68.8376;326;13.0293;114;77.2255;272;48.62;800;25.2734;801;61.3217;92;51.7057;114;56.4711;139;77.6865;8;45.8125;30;54.5706;2;80.5022;682;27.3005;123;8.9262;414;4.6686;801;46.9608;26;28.1048;439;32.9242;793;39.6227;36;47.7036;707;35.4056;41;46.8626;142;117.0973;218;54.4467;37;76.0361
219;53.8444;31;11.5234;578;52.4686;5;50.1176;141;6.0518;122;11.3794;795;81.1803;233;47.9357;354;41.2136;801;47.9461;758;15.3689;178;57.4422;95;1.4476;297;76.2186;47;51.8292;703;64.2415;801;23.362;173;61.8032;801;26.0814;148;51.5643;15;53.091;44;119.2731;32;75.2687;765;53.1525;29;69.3679;801;39.1194;801;42.9011;31;4.7859;12;50.0;801;36.4228;65;43.8945;621;45.2606;117;64.6057;83;53.1611;208;55.2591;63;77.5583
801;31.6239;168;69.9007;214;0.7219;801;16.5947;356;48.4597;172;11.9396;657;22.9872;287;23.4983;801;51.1294;801;37.6201;778;44.5278;353;91.7767;734;16.1316;60;78.3087;152;31.7658;801;17.9135;546;35.9692;66;53.0349;801;30.4722;207;52.5881;48;43.9564;29;40.4129;5;83.1716;728;13.1956;775;75.7196;436;44.8627;801;39.5502;49;119.9885;74;71.6009;621;46.428;69;3.3441;775;39.815;87;49.5051;345;24.7049;562;15.6554;181;74.612
605;59.1664;65;55.1435;29;9.8659;386;5.6107;40;1.7611;129;119.4213;800;61.9776;732;49.4681;743;52.2219;695;52.8761;691;27.5735;74;90.951;52;57.5275;173;49.5064;18;53.5614;801;46.2245;245;52.2429;182;56.9225;799;19.7579;11;79.8775;127;43.8025;24;50.0;19;76.2069;186;4.8164;176;54.6405;441;44.5839;801;41.9387;33;65.8078;137;88.9564;401;69.4632;12;28.8281;521;46.4553;220;54.5143;328;83.4865;394;52.0301;75;59.23
151;58.2128;7;76.7095;17;11.9182;800;32.2526;392;48.5622;324;54.2641;509;51.1806;84;57.7045;801;44.3091;801;49.789;801;42.6135;217;69.1217;499;14.7825;131;79.1284;210;52.7824;170;54.6398;761;44.3211;445;106.613;800;12.4651;109;76.7686;107;52.7295;24;63.3714;7;80.0155;788;26.1657;609;21.4225;785;29.0125;409;48.3991;48;112.7043;110;53.2592;801;49.9638;162;7.5858;784;42.893;139;53.3254;161;66.6272;334;14.6213;118;54.1055
130;52.922;37;4.8784;210;56.4931;195;50.0;98;56.5888;239;66.8383;801;27.8315;445;50.2114;723;52.5049;548;40.8771;439;79.1138;288;12.1919;270;65.0859;669;44.6421;122;50.2724;791;17.5953;125;52.0256;119;8.4621;710;29.8389;53;81.6775;237;51.8281;45;53.8451;8;69.6672;274;51.0378;21;40.905;801;51.3028;660;47.002;34;21.1978;256;33.5613;798;45.8119;40;43.094;613;48.1146;18;54.7829;167;157.0144;197;15.5204;20;78.5573
167;58.4681;38;81.0653;55;60.2431;413;39.5312;111;41.9386;160;117.4533;466;78.6008;47;77.9491;801;46.7095;801;44.3243;757;32.6078;91;117.2435;191;65.7198;326;80.5873;190;39.3632;801;24.6253;571;19.1393;138;80.6443;801;23.5002;118;72.3651;347;49.5027;32;50.8489;38;79.6769;686;39.35;638;68.1041;775;40.0961;801;40.0216;37;50.0;196;123.821;801;38.6336;4;6.7195;801;41.7837;187;57.1435;119;66.7707;349;63.2129;23;77.7304
465;115.5385;53;74.7241;145;61.3096;251;4.0166;269;47.4436;523;114.4983;289;48.7833;259;29.0123;465;41.7663;764;47.2172;564;55.2769;53;59.1466;579;10.9543;126;54.3278;395;49.1736;779;27.775;737;38.4052;225;94.7103;152;50.2106;17;54.2784;300;47.9171;27;8.5972;31;72.8626;677;3.6596;57;3.8483;801;33.6238;801;42.6489;118;72.8543;98;65.5682;801;47.2031;67;65.7557;801;39.6603;50;53.4888;112;50.4828;107;2.2415;83;54.1126
184;74.2581;29;53.1509;325;49.7827;711;15.1436;223;52.793;51;50.0903;141;51.9994;93;56.3851;722;49.4514;801;45.972;644;39.363;196;33.44;224;82.6935;91;76.6469;37;49.2653;640;13.9698;774;22.0997;261;60.5735;90;1.4429;17;75.7251;26;60.3795;7;1.8969;6;81.2725;343;7.2379;8;0.2693;768;44.5464;774;43.4895;87;118.6742;413;66.2663;706;43.0025;10;10.318;463;48.1146;215;53.4038;130;115.5197;242;61.7239;94;77.5726
59;53.4959;80;77.2582;6;1.9692;51;57.6779;42;5.2773;261;62.6737;740;50.7329;81;77.9228;801;44.5081;801;46.6013;800;40.7188;202;70.4714;36;31.7834;475;44.9775;356;50.8972;100;53.8198;801;29.9748;225;73.1772;801;5.7737;77;72.4769;44;8.2788;24;50.1185;36;78.4762;712;42.5615;553;0.9628;801;40.9152;674;40.396;214;273.4159;97;94.3385;801;47.0449;5;11.5454;801;45.5181;82;56.9231;19;6.0483;758;30.2679;245;78.171
259;58.0328;30;79.847;30;6.9633;156;66.261;184;41.5527;74;57.7002;708;83.2393;52;47.4693;801;49.2383;801;43.1264;564;30.4742;349;17.1297;801;15.8358;85;77.2344;203;56.8816;801;37.0813;801;68.0514;41;52.1146;716;34.7344;87;69.3437;109;44.1491;4;50.3788;3;81.1078;794;15.9773;400;37.5038;748;43.7675;722;42.2912;38;89.5705;210;76.8608;764;49.4531;2;0.4323;585;42.2659;92;42.0304;103;63.6013;302;74.3914;247;43.853
273;104.0303;35;73.9728;174;54.7481;492;64.5177;160;56.3045;105;63.4442;663;57.1266;230;75.5923;798;52.0324;801;42.5442;421;8.2081;118;69.7175;100;0.2951;318;76.5007;213;40.5954;801;34.2108;784;24.9307;86;58.2136;756;50.4137;56;72.8187;24;55.3707;51;67.6975;25;79.5853;801;38.0647;542;53.1736;548;42.3562;776;40.4864;49;120.1766;114;118.5804;332;40.1244;63;71.5401;275;42.239;210;40.0662;101;56.448;345;62.7733;17;75.286
314;58.6909;119;40.5352;7;11.5645;46;1.3255;423;49.0696;194;65.3626;797;75.9067;446;43.3226;801;52.7906;801;44.8816;606;43.7558;89;52.1974;103;26.1639;14;76.8548;124;42.6031;799;30.1316;111;37.5098;213;118.6186;624;8.885;28;73.8797;78;53.8389;49;63.8965;12;78.7226;522;35.3151;38;50.0;801;46.2968;801;45.4732;57;69.5508;418;56.2136;801;39.4722;19;46.1465;801;42.303;103;51.0547;210;102.7997;125;8.4797;134;75.5713
485;26.343;74;81.511;224;53.6461;99;26.9948;271;34.6718;171;69.008;274;54.6921;242;52.171;513;44.6579;801;43.7246;801;18.2926;65;50.7375;193;8.5414;516;54.1746;183;55.4059;278;56.1711;452;30.9471;221;39.9461;801;23.2349;2;44.5205;21;59.9375;8;50.0649;39;78.4472;800;26.9;62;34.4207;801;43.003;800;50.4136;106;55.1176;91;64.9306;801;48.4324;15;1.679;801;40.2728;65;54.2762;448;109.8953;233;51.705;50;69.4338
55;50.1176;47;82.7807;173;45.3868;112;0.568;13;54.7642;266;58.6508;635;40.2186;243;78.1165;801;48.2211;801;36.9749;383;52.8372;140;62.1879;73;10.6136;77;76.2908;163;43.5542;801;26.7495;433;54.9513;48;50.0;794;16.5017;121;75.4575;159;53.4534;63;52.9051;13;78.0778;744;33.4818;456;2.965;713;49.4396;801;48.6977;30;59.2079;261;64.1926;741;34.9998;19;44.3159;727;44.0182;91;45.2626;231;164.8613;762;10.3542;29;80.0638
184;55.2068;416;49.5902;10;9.6821;186;50.4756;449;51.1638;244;79.5279;454;67.7263;185;12.9517;801;47.637;801;38.0442;675;106.7982;629;58.1028;265;52.2222;742;51.552;228;53.1725;801;21.3411;801;36.8057;234;11.7978;781;47.8761;51;72.6804;28;4.7485;49;64.1354;93;78.5935;731;21.1139;427;32.1067;801;52.1258;801;39.9397;96;116.8596;214;119.0041;756;50.462;69;45.2201;801;51.4225;21;54.3634;350;83.4276;639;19.1917;69;81.7567
226;70.6528;204;48.8775;11;79.5808;181;2.3376;70;51.2296;147;67.3829;435;14.9232;413;46.3331;801;47.5998;696;39.1233;778;81.3058;47;63.56;71;56.9615;185;67.4845;248;48.5196;801;35.3527;799;44.5243;293;76.7581;509;51.148;74;81.6328;115;53.5902;62;118.694;50;79.6974;778;30.0517;113;60.0232;247;40.4161;794;47.7665;39;16.4455;78;118.2055;748;48.6412;55;18.0599;801;39.4255;38;57.3225;194;219.656;743;6.3704;67;81.6611
170;54.3492;407;51.8115;14;9.6755;333;23.861;20;52.3215;15;50.0;745;37.3829;174;50.7393;801;38.6024;708;43.4007;359;53.7813;297;51.8407;36;-79.2333;102;54.4542;203;44.8325;775;36.7619;748;35.0401;102;59.6616;477;62.5603;30;81.4314;35;51.6094;23;50.5255;14;11.1385;801;45.5552;219;117.5588;801;34.0339;801;45.793;97;117.0678;136;55.7465;424;40.5655;16;44.1093;801;45.8443;7;14.1206;59;56.6195;355;71.3758;13;77.8484
66;28.6502;11;2.5448;4;11.3597;668;52.6592;59;53.7264;124;56.3189;537;59.6319;747;54.0269;801;39.7273;801;41.4621;687;21.3634;73;119.1018;110;118.3042;240;76.5589;573;48.993;799;14.7408;309;28.3095;78;87.7488;744;12.6508;27;75.1884;268;50.427;20;30.6585;10;75.6776;644;50.0;187;74.4872;801;29.3751;801;48.1371;36;52.1832;59;8.621;771;44.5846;5;28.1512;801;43.9868;249;40.833;205;66.2697;105;2.0908;68;79.207
142;62.9351;11;78.5624;15;61.3151;242;6.3023;89;54.5405;248;75.7221;759;36.2526;119;54.332;801;46.2921;801;27.6156;792;16.857;526;45.4492;51;91.3774;341;76.6834;189;43.9234;764;31.5373;801;18.6779;103;114.3101;190;5.3054;12;81.9497;24;42.094;2;52.9384;6;81.1397;781;14.8276;223;18.0215;775;47.5778;801;48.45;158;70.9169;76;53.394;566;42.3947;15;3.4958;801;34.9649;153;52.3046;190;62.7341;295;65.3956;136;73.8087
440;65.8917;132;78.0332;45;50.0989;123;6.6757;572;27.7527;349;50.0;794;29.5572;130;64.7885;801;42.295;801;45.3879;801;30.6464;126;108.1322;430;78.1906;602;53.1347;188;43.829;518;14.3069;340;58.3427;19;51.4204;801;8.0552;17;79.6616;53;56.8733;63;66.0905;19;79.6029;623;30.0759;106;42.034;801;44.0574;506;37.3763;110;118.5132;158;53.1393;772;48.5809;14;7.4872;801;37.6364;17;47.1915;6;57.1717;23;0.0475;14;79.34
163;69.9652;8;9.6284;142;49.9501;653;0.1981;109;60.2509;67;85.4763;779;31.896;22;56.5377;801;42.8302;801;43.8017;765;24.6025;77;50.8651;508;42.3991;109;77.8431;78;49.1453;801;23.6402;192;54.6204;133;63.3221;800;19.2681;20;80.4558;37;46.0391;27;11.0226;44;77.8377;716;49.8069;65;-88.9609;765;46.3412;580;40.1005;79;119.2769;512;67.9256;575;47.7047;16;11.1016;801;42.9684;27;51.3164;148;111.7823;607;24.4882;78;77.6441
458;83.6927;309;54.6617;124;59.8316;338;50.9466;365;32.6064;189;84.1229;728;36.5953;575;51.7067;801;36.9033;771;44.7041;665;60.5736;157;101.2329;146;91.5308;180;78.4876;439;53.7714;504;28.1508;799;35.9711;793;49.9749;661;52.8529;7;79.6316;10;42.4335;118;0.0;21;83.2674;801;8.3233;176;11.8713;636;50.6232;619;37.99;13;10.4521;73;51.8258;779;43.4372;34;45.8006;780;50.1348;115;63.4361;61;62.2528;580;77.0445;93;77.4452
350;150.6562;88;80.1623;37;62.2655;417;46.6632;323;49.0313;685;70.9581;507;32.177;442;77.6474;796;48.4741;801;48.1143;731;28.3258;22;50.0892;176;3.5113;241;79.0694;448;42.4354;749;76.3812;786;21.606;469;72.022;796;22.816;26;78.2734;249;51.6228;14;53.0458;18;77.6715;673;37.807;407;49.5224;801;38.3561;801;37.2055;17;110.5892;148;60.8263;801;34.8117;11;20.3734;801;38.7882;119;50.3038;295;51.8156;51;6.224;109;77.0741
763;13.2452;275;78.9688;154;49.2091;40;53.7398;305;54.5845;308;88.0546;752;45.4998;669;54.2214;602;38.0353;801;49.14;800;26.5928;320;31.3512;104;1.5535;230;76.8756;225;50.654;258;51.861;760;64.5935;523;110.2209;144;50.0;43;49.2233;5;5.5;185;56.0632;10;81.4952;235;3.7387;116;120.413;755;50.9086;712;41.291;108;115.9928;50;66.9524;791;47.7677;47;46.0954;788;44.2528;73;59.9105;57;118.7682;394;33.3497;81;76.6707
671;142.5429;12;0.114;186;62.9384;188;11.8387;281;50.1849;331;65.4965;25;50.1191;250;33.9606;766;43.1234;344;46.3517;772;28.1738;189;64.0751;679;25.9685;107;72.191;408;45.0983;736;33.0605;761;40.1025;164;50.1711;238;10.689;49;69.1998;12;12.5166;15;118.5605;3;78.9385;673;12.4936;284;5.9289;801;40.4194;659;47.7487;35;50.033;260;114.6182;801;40.5493;22;12.856;664;47.8916;144;45.9555;457;60.0156;174;72.1874;91;75.3221
175;62.4838;24;80.8084;25;5.2261;303;6.6007;166;45.909;698;59.7705;242;53.3576;120;78.9879;532;45.5841;440;76.5061;725;33.5353;6;50.0;505;35.2209;96;51.6585;78;42.8138;718;12.6638;602;51.6435;286;65.9793;699;56.5174;35;77.9928;35;41.2883;25;10.965;23;67.9979;793;42.6641;400;51.1883;801;44.2756;801;44.1864;18;51.9087;333;171.0283;801;48.9955;12;1.9715;801;43.471;111;56.9677;17;62.5593;153;50.3172;48;77.2085
560;57.7956;314;45.1788;127;1.0714;371;9.9439;62;51.4181;261;60.4189;462;55.7334;177;49.7191;801;44.7632;419;43.8698;789;46.2793;210;64.9734;271;31.282;88;77.0467;444;62.4719;732;54.002;373;38.2019;264;37.8148;468;1.3644;21;53.8274;19;10.6325;71;64.4015;12;79.8793;690;31.6191;286;50.3241;748;50.7687;770;39.4618;67;115.104;141;68.2171;801;45.5873;5;5.2931;801;40.789;75;52.3431;87;25.7373;740;77.6599;198;74.0937
410;12.6342;35;71.876;3;6.8644;564;31.7112;222;36.1047;166;62.4841;713;45.4146;32;79.8997;801;42.0655;801;48.3364;614;53.8278;64;28.8926;794;8.1718;134;51.3307;206;48.4701;801;27.5194;170;51.7428;386;76.9694;230;67.5;146;75.3959;5;5.559;165;117.7743;17;79.2658;480;57.3737;158;12.8774;767;49.4837;801;50.8979;11;117.0013;192;111.7007;801;49.7168;16;5.1283;801;44.5476;436;51.0004;123;262.8209;45;60.3007;47;52.7747
232;70.9516;60;78.3724;106;5.5622;85;12.5197;220;14.3054;371;63.9633;789;26.6612;79;54.4905;801;36.4426;716;40.9937;581;56.2249;70;49.8405;147;0.5115;360;44.4842;50;46.8457;794;36.0665;719;30.0795;232;50.0;654;28.1457;29;77.5235;217;46.7461;57;64.7074;15;78.9579;786;11.5864;136;0.1979;686;49.1348;240;50.0239;69;50.3303;72;217.1719;731;41.3803;21;12.3066;801;39.6868;17;54.1188;343;123.1351;147;39.9053;79;79.6282
402;67.5175;35;62.2405;766;28.2883;133;78.6017;538;47.214;182;66.6167;740;42.7857;320;50.1269;801;43.197;801;44.5003;658;35.3573;231;85.3949;329;15.3084;267;73.2524;93;44.5988;791;39.8252;801;33.4955;344;69.0172;592;12.1131;221;42.2467;181;57.2206;15;57.0273;21;80.2646;81;1.0546;801;30.9298;784;49.9442;515;41.1973;73;72.1402;439;133.5251;481;42.2418;28;6.6707;801;47.5699;212;50.5898;279;120.5189;801;0.3121;8;76.9924
439;66.8275;801;38.2911;70;9.8796;91;1.7536;8;55.4894;531;28.2435;791;37.5224;75;58.182;703;40.733;801;40.8512;797;27.3886;120;77.2909;171;63.3903;86;53.0151;308;48.217;526;61.471;477;58.3052;94;51.5695;705;19.416;33;81.531;248;50.8479;19;56.8055;7;77.394;769;35.5017;86;75.0376;297;43.58;659;46.5968;61;122.6102;316;105.8144;801;47.6416;34;34.7446;801;44.557;163;48.5269;78;113.9392;797;15.6741;26;82.0163
120;90.5727;58;18.38;33;4.5225;790;6.59;279;56.1599;99;118.3735;633;65.6552;171;46.0228;801;43.7535;409;32.0675;798;33.5467;60;54.0521;169;68.5728;393;66.9732;95;45.2471;753;103.1688;740;52.6475;209;52.1292;665;58.3078;57;74.0002;44;46.5514;12;69.0573;22;77.7578;795;10.9225;323;57.6424;786;36.6277;244;38.1367;9;50.0;378;104.4946;798;44.6535;3;55.0498;546;40.3718;132;51.5705;97;120.5628;196;12.9806;379;78.2699
71;63.3393;25;12.2926;4;11.7483;202;2.2308;311;49.1733;124;63.9853;800;33.4623;219;53.4769;801;43.9431;801;51.5343;746;27.5677;100;82.7483;206;36.9233;203;48.7894;284;47.5628;629;40.705;796;30.6056;27;71.2803;770;16.9355;53;77.054;16;43.1732;37;116.7261;18;78.6589;196;6.3192;80;5.8061;801;46.6325;788;47.726;52;50.0878;232;71.3023;801;50.3729;10;71.481;801;45.3457;170;39.5191;148;59.1188;132;28.2082;127;78.324
141;23.3608;47;79.4342;307;39.7718;27;50.0;488;50.1234;70;60.2829;702;26.2092;108;59.5448;776;46.6664;696;47.8372;142;56.0228;264;69.416;9;50.0;353;50.5442;82;53.0644;736;65.4003;386;50.0;359;85.1228;743;38.2025;94;80.1412;28;54.1418;95;117.8804;19;77.3702;739;33.1675;71;63.9585;782;34.8206;801;42.8934;14;50.0;140;63.6712;801;42.0685;7;32.3722;784;44.4934;31;41.8979;188;117.8855;427;40.758;178;70.9622
270;92.4427;65;80.2522;53;68.6642;77;39.8943;375;50.8121;136;21.1757;542;51.0924;49;25.26;503;48.7738;797;45.6899;585;31.7489;130;50.0;124;9.1328;31;79.6206;77;48.6144;801;13.6737;786;27.6026;166;72.1678;741;37.1598;40;76.319;84;53.4329;46;40.4514;10;31.9626;800;4.5005;10;-13.9483;475;47.2873;796;45.5199;71;50.0;275;64.3263;798;34.3203;4;5.7044;792;49.4621;105;53.6912;106;69.9915;626;50.5629;31;81.2391
441;117.6233;64;52.032;149;51.0847;51;22.1036;210;54.1753;148;62.6762;507;55.8778;191;50.1288;584;40.6759;801;45.5915;758;35.0835;116;120.9477;449;58.2038;341;78.0097;663;47.7999;524;48.4605;797;46.568;261;67.234;801;30.6239;97;78.2111;49;41.3994;13;113.0933;62;41.244;766;16.1482;123;48.7877;800;39.0695;801;33.4691;16;64.0619;112;49.2671;251;39.5349;8;41.1157;337;45.2423;230;48.2446;62;204.2299;88;12.2473;550;42.7535
